item_id,order_id,product_name,category,price,quantity
I-000091,O-00025,Laptop Pro,Electronics,1200,3
I-000092,O-00025,Office Chair,Furniture,250,1
I-000093,O-00026,Monitor Stand,Accessories,75,2
I-000094,O-00026,Webcam 1080p,Accessories,80,1
I-000095,O-00026,4K Monitor,Electronics,400,2
I-000096,O-00027,Mechanical Keyboard,Accessories,130,3
I-000097,O-00027,Monitor Stand,Accessories,75,3
I-000098,O-00027,Mechanical Keyboard,Accessories,130,1
I-000099,O-00027,4K Monitor,Electronics,400,3
I-000100,O-00027,Noise Cancelling Headphones,Electronics,300,1
I-000101,O-00028,Wireless Mouse,Accessories,50,1
I-000102,O-00028,4K Monitor,Electronics,400,3
I-000103,O-00028,4K Monitor,Electronics,400,3
I-000104,O-00028,Noise Cancelling Headphones,Electronics,300,2
I-000105,O-00029,Laptop Pro,Electronics,1200,2
I-000106,O-00029,Standing Desk,Furniture,600,2
I-000107,O-00029,Office Chair,Furniture,250,1
I-000108,O-00030,Standing Desk,Furniture,600,3
I-000109,O-00031,Monitor Stand,Accessories,75,1
I-000110,O-00031,Webcam 1080p,Accessories,80,3
I-000111,O-00031,Noise Cancelling Headphones,Electronics,300,2
I-000112,O-00032,Standing Desk,Furniture,600,3
I-000113,O-00033,Noise Cancelling Headphones,Electronics,300,1
I-000114,O-00033,Office Chair,Furniture,250,2
I-000115,O-00033,Mechanical Keyboard,Accessories,130,3
I-000116,O-00034,Monitor Stand,Accessories,75,2
I-000117,O-00034,4K Monitor,Electronics,400,1
I-000118,O-00034,Noise Cancelling Headphones,Electronics,300,3
I-000119,O-00034,Mechanical Keyboard,Accessories,130,2
I-000120,O-00035,Noise Cancelling Headphones,Electronics,300,3
I-000121,O-00035,Monitor Stand,Accessories,75,1
I-000122,O-00035,Noise Cancelling Headphones,Electronics,300,3
I-000123,O-00036,Monitor Stand,Accessories,75,3
I-000124,O-00036,Office Chair,Furniture,250,3
I-000125,O-00037,Wireless Mouse,Accessories,50,3
I-000126,O-00037,Wireless Mouse,Accessories,50,1
I-000127,O-00037,Monitor Stand,Accessories,75,3
I-000128,O-00038,Monitor Stand,Accessories,75,1
I-000129,O-00038,Office Chair,Furniture,250,2
I-000130,O-00039,Mechanical Keyboard,Accessories,130,1
I-000131,O-00039,4K Monitor,Electronics,400,1
I-000132,O-00039,4K Monitor,Electronics,400,1
I-000133,O-00039,Monitor Stand,Accessories,75,3
I-000134,O-00040,Wireless Mouse,Accessories,50,2
I-000135,O-00040,4K Monitor,Electronics,400,1
I-000136,O-00040,Laptop Pro,Electronics,1200,3
I-000137,O-00040,4K Monitor,Electronics,400,2
I-000138,O-00040,Laptop Pro,Electronics,1200,3
I-000139,O-00041,4K Monitor,Electronics,400,1
I-000140,O-00041,Noise Cancelling Headphones,Electronics,300,2
I-000141,O-00041,Standing Desk,Furniture,600,3
I-000142,O-00041,Noise Cancelling Headphones,Electronics,300,2
I-000143,O-00041,Webcam 1080p,Accessories,80,2
I-000144,O-00042,Wireless Mouse,Accessories,50,1
I-000145,O-00042,Monitor Stand,Accessories,75,3
I-000146,O-00043,4K Monitor,Electronics,400,1
I-000147,O-00043,Mechanical Keyboard,Accessories,130,3
I-000148,O-00044,Webcam 1080p,Accessories,80,2
I-000149,O-00044,4K Monitor,Electronics,400,2
I-000150,O-00044,Laptop Pro,Electronics,1200,1
I-000151,O-00045,Laptop Pro,Electronics,1200,3
I-000152,O-00046,Standing Desk,Furniture,600,3
I-000153,O-00046,Noise Cancelling Headphones,Electronics,300,1
I-000154,O-00046,4K Monitor,Electronics,400,3
I-000155,O-00046,Wireless Mouse,Accessories,50,3
I-000156,O-00046,Webcam 1080p,Accessories,80,1
I-000157,O-00047,Mechanical Keyboard,Accessories,130,1
I-000158,O-00048,Mechanical Keyboard,Accessories,130,2
I-000159,O-00048,Laptop Pro,Electronics,1200,2
I-000160,O-00048,Webcam 1080p,Accessories,80,1
I-000161,O-00048,Standing Desk,Furniture,600,3
I-000162,O-00048,Monitor Stand,Accessories,75,3
I-000163,O-00049,Office Chair,Furniture,250,3
I-000164,O-00049,Noise Cancelling Headphones,Electronics,300,3
I-000165,O-00049,Noise Cancelling Headphones,Electronics,300,3
I-000166,O-00049,Monitor Stand,Accessories,75,3
I-000167,O-00050,Monitor Stand,Accessories,75,2
I-000168,O-00051,Standing Desk,Furniture,600,3
I-000169,O-00051,Webcam 1080p,Accessories,80,2
I-000170,O-00051,Laptop Pro,Electronics,1200,2
I-000171,O-00051,4K Monitor,Electronics,400,1
I-000172,O-00052,Standing Desk,Furniture,600,1
I-000173,O-00053,Mechanical Keyboard,Accessories,130,2
I-000174,O-00053,Mechanical Keyboard,Accessories,130,2
I-000175,O-00053,Monitor Stand,Accessories,75,1
I-000176,O-00053,Wireless Mouse,Accessories,50,1
I-000177,O-00053,Noise Cancelling Headphones,Electronics,300,2
I-000178,O-00054,Office Chair,Furniture,250,3
I-000179,O-00054,Noise Cancelling Headphones,Electronics,300,2
I-000180,O-00054,Monitor Stand,Accessories,75,1
I-000181,O-00054,Monitor Stand,Accessories,75,2
I-000182,O-00054,Office Chair,Furniture,250,3
I-000183,O-00055,Mechanical Keyboard,Accessories,130,2
I-000184,O-00055,Monitor Stand,Accessories,75,3
I-000185,O-00055,Mechanical Keyboard,Accessories,130,2
I-000186,O-00055,Office Chair,Furniture,250,3
I-000187,O-00055,Office Chair,Furniture,250,1
I-000188,O-00056,Standing Desk,Furniture,600,2
I-000189,O-00057,Laptop Pro,Electronics,1200,2
I-000190,O-00057,Mechanical Keyboard,Accessories,130,3
I-000191,O-00058,Standing Desk,Furniture,600,1
I-000192,O-00058,Standing Desk,Furniture,600,1
I-000193,O-00058,Wireless Mouse,Accessories,50,2
I-000194,O-00058,Webcam 1080p,Accessories,80,3
I-000195,O-00058,Laptop Pro,Electronics,1200,2
I-000196,O-00059,Laptop Pro,Electronics,1200,1
I-000197,O-00060,Laptop Pro,Electronics,1200,2
I-000198,O-00060,Laptop Pro,Electronics,1200,3
I-000199,O-00060,Monitor Stand,Accessories,75,3
I-000200,O-00061,Office Chair,Furniture,250,2
I-000201,O-00061,Webcam 1080p,Accessories,80,2
I-000202,O-00061,Laptop Pro,Electronics,1200,1
I-000203,O-00061,Standing Desk,Furniture,600,1
I-000204,O-00061,Wireless Mouse,Accessories,50,3
I-000205,O-00062,Office Chair,Furniture,250,1
I-000206,O-00062,Laptop Pro,Electronics,1200,3
I-000207,O-00062,4K Monitor,Electronics,400,1
I-000208,O-00062,Mechanical Keyboard,Accessories,130,2
I-000209,O-00062,Office Chair,Furniture,250,1
I-000210,O-00063,Webcam 1080p,Accessories,80,1
I-000211,O-00064,Noise Cancelling Headphones,Electronics,300,3
I-000212,O-00064,Monitor Stand,Accessories,75,1
I-000213,O-00064,Monitor Stand,Accessories,75,3
I-000214,O-00065,Standing Desk,Furniture,600,1
I-000215,O-00066,Mechanical Keyboard,Accessories,130,3
I-000216,O-00067,Webcam 1080p,Accessories,80,1
I-000217,O-00067,Monitor Stand,Accessories,75,2
I-000218,O-00067,Webcam 1080p,Accessories,80,2
I-000219,O-00067,Office Chair,Furniture,250,3
I-000220,O-00067,4K Monitor,Electronics,400,1
I-000221,O-00068,Wireless Mouse,Accessories,50,3
I-000222,O-00068,Mechanical Keyboard,Accessories,130,2
I-000223,O-00068,4K Monitor,Electronics,400,2
I-000224,O-00069,Noise Cancelling Headphones,Electronics,300,2
I-000225,O-00070,Noise Cancelling Headphones,Electronics,300,1
I-000226,O-00070,4K Monitor,Electronics,400,2
I-000227,O-00070,Standing Desk,Furniture,600,2
I-000228,O-00070,Webcam 1080p,Accessories,80,3
I-000229,O-00070,4K Monitor,Electronics,400,2
I-000230,O-00071,Noise Cancelling Headphones,Electronics,300,1
I-000231,O-00071,Mechanical Keyboard,Accessories,130,3
I-000232,O-00071,Office Chair,Furniture,250,3
I-000233,O-00071,Monitor Stand,Accessories,75,1
I-000234,O-00071,Noise Cancelling Headphones,Electronics,300,2
I-000235,O-00072,Webcam 1080p,Accessories,80,1
I-000236,O-00072,Mechanical Keyboard,Accessories,130,2
I-000237,O-00072,Laptop Pro,Electronics,1200,1
I-000238,O-00072,Noise Cancelling Headphones,Electronics,300,2
I-000239,O-00073,Laptop Pro,Electronics,1200,2
I-000240,O-00073,Webcam 1080p,Accessories,80,1
I-000241,O-00073,Mechanical Keyboard,Accessories,130,3
I-000242,O-00074,Wireless Mouse,Accessories,50,1
I-000243,O-00074,Standing Desk,Furniture,600,2
I-000244,O-00074,Webcam 1080p,Accessories,80,3
I-000245,O-00075,Office Chair,Furniture,250,2
I-000246,O-00075,Office Chair,Furniture,250,1
I-000247,O-00076,Wireless Mouse,Accessories,50,3
I-000248,O-00076,Office Chair,Furniture,250,2
I-000249,O-00077,Noise Cancelling Headphones,Electronics,300,1
I-000250,O-00077,Wireless Mouse,Accessories,50,3
I-000251,O-00078,4K Monitor,Electronics,400,2
I-000252,O-00078,Standing Desk,Furniture,600,2
I-000253,O-00078,Mechanical Keyboard,Accessories,130,3
I-000254,O-00078,Laptop Pro,Electronics,1200,2
I-000255,O-00079,Webcam 1080p,Accessories,80,1
I-000256,O-00079,Noise Cancelling Headphones,Electronics,300,3
I-000257,O-00079,4K Monitor,Electronics,400,2
I-000258,O-00079,Office Chair,Furniture,250,2
I-000259,O-00080,Standing Desk,Furniture,600,3
I-000260,O-00080,Wireless Mouse,Accessories,50,2
I-000261,O-00081,Webcam 1080p,Accessories,80,1
I-000262,O-00081,Laptop Pro,Electronics,1200,2
I-000263,O-00081,Monitor Stand,Accessories,75,1
I-000264,O-00081,Noise Cancelling Headphones,Electronics,300,3
I-000265,O-00082,Mechanical Keyboard,Accessories,130,2
I-000266,O-00082,Standing Desk,Furniture,600,2
I-000267,O-00082,Laptop Pro,Electronics,1200,3
I-000268,O-00082,Wireless Mouse,Accessories,50,2
I-000269,O-00082,4K Monitor,Electronics,400,1
I-000270,O-00083,Office Chair,Furniture,250,2
I-000271,O-00083,Office Chair,Furniture,250,1
I-000272,O-00083,Webcam 1080p,Accessories,80,2
I-000273,O-00083,Monitor Stand,Accessories,75,3
I-000274,O-00083,Wireless Mouse,Accessories,50,2
I-000275,O-00084,Noise Cancelling Headphones,Electronics,300,1
I-000276,O-00084,Office Chair,Furniture,250,3
I-000277,O-00084,Wireless Mouse,Accessories,50,3
I-000278,O-00085,Noise Cancelling Headphones,Electronics,300,1
I-000279,O-00085,Standing Desk,Furniture,600,3
I-000280,O-00086,Noise Cancelling Headphones,Electronics,300,2
I-000281,O-00086,Wireless Mouse,Accessories,50,1
I-000282,O-00086,Noise Cancelling Headphones,Electronics,300,1
I-000283,O-00086,Standing Desk,Furniture,600,2
I-000284,O-00087,Wireless Mouse,Accessories,50,2
I-000285,O-00087,Webcam 1080p,Accessories,80,2
I-000286,O-00087,4K Monitor,Electronics,400,2
I-000287,O-00087,Mechanical Keyboard,Accessories,130,2
I-000288,O-00088,Noise Cancelling Headphones,Electronics,300,2
I-000289,O-00088,Laptop Pro,Electronics,1200,2
I-000290,O-00088,Laptop Pro,Electronics,1200,3
I-000291,O-00088,Wireless Mouse,Accessories,50,1
I-000292,O-00088,Wireless Mouse,Accessories,50,2
I-000293,O-00089,Office Chair,Furniture,250,2
I-000294,O-00089,Monitor Stand,Accessories,75,2
I-000295,O-00089,4K Monitor,Electronics,400,1
I-000296,O-00090,Wireless Mouse,Accessories,50,3
I-000297,O-00090,Noise Cancelling Headphones,Electronics,300,3
I-000298,O-00090,Webcam 1080p,Accessories,80,3
I-000299,O-00090,Wireless Mouse,Accessories,50,3
I-000300,O-00091,Webcam 1080p,Accessories,80,2
I-000301,O-00091,Office Chair,Furniture,250,3
I-000302,O-00092,Mechanical Keyboard,Accessories,130,3
I-000303,O-00092,Standing Desk,Furniture,600,1
I-000304,O-00092,Webcam 1080p,Accessories,80,1
I-000305,O-00092,Monitor Stand,Accessories,75,3
I-000306,O-00092,Office Chair,Furniture,250,2
I-000307,O-00093,4K Monitor,Electronics,400,1
I-000308,O-00093,4K Monitor,Electronics,400,2
I-000309,O-00093,Noise Cancelling Headphones,Electronics,300,1
I-000310,O-00093,Laptop Pro,Electronics,1200,2
I-000311,O-00094,4K Monitor,Electronics,400,2
I-000312,O-00094,Standing Desk,Furniture,600,2
I-000313,O-00094,4K Monitor,Electronics,400,2
I-000314,O-00095,Standing Desk,Furniture,600,1
I-000315,O-00095,Mechanical Keyboard,Accessories,130,1
I-000316,O-00095,Mechanical Keyboard,Accessories,130,1
I-000317,O-00096,Standing Desk,Furniture,600,3
I-000318,O-00096,4K Monitor,Electronics,400,3
I-000319,O-00097,Wireless Mouse,Accessories,50,2
I-000320,O-00098,Laptop Pro,Electronics,1200,2
I-000321,O-00099,Laptop Pro,Electronics,1200,3
I-000322,O-00099,Standing Desk,Furniture,600,1
I-000323,O-00099,Mechanical Keyboard,Accessories,130,1
I-000324,O-00099,Webcam 1080p,Accessories,80,3
I-000325,O-00099,Laptop Pro,Electronics,1200,2
I-000326,O-00100,Office Chair,Furniture,250,1
I-000327,O-00100,Standing Desk,Furniture,600,1
I-000328,O-00100,Monitor Stand,Accessories,75,3
I-000329,O-00101,Laptop Pro,Electronics,1200,2
I-000330,O-00101,4K Monitor,Electronics,400,2
I-000331,O-00102,Webcam 1080p,Accessories,80,3
I-000332,O-00102,Mechanical Keyboard,Accessories,130,3
I-000333,O-00102,Office Chair,Furniture,250,1
I-000334,O-00102,Mechanical Keyboard,Accessories,130,3
I-000335,O-00103,Mechanical Keyboard,Accessories,130,3
I-000336,O-00103,Standing Desk,Furniture,600,2
I-000337,O-00103,Noise Cancelling Headphones,Electronics,300,2
I-000338,O-00103,Monitor Stand,Accessories,75,2
I-000339,O-00103,4K Monitor,Electronics,400,3
I-000340,O-00104,Noise Cancelling Headphones,Electronics,300,2
I-000341,O-00104,Monitor Stand,Accessories,75,2
I-000342,O-00105,Wireless Mouse,Accessories,50,1
I-000343,O-00105,Laptop Pro,Electronics,1200,2
I-000344,O-00105,Mechanical Keyboard,Accessories,130,2
I-000345,O-00106,Mechanical Keyboard,Accessories,130,2
I-000346,O-00106,Standing Desk,Furniture,600,1
I-000347,O-00106,Mechanical Keyboard,Accessories,130,2
I-000348,O-00106,Standing Desk,Furniture,600,2
I-000349,O-00107,Office Chair,Furniture,250,2
I-000350,O-00107,Laptop Pro,Electronics,1200,1
I-000351,O-00107,Monitor Stand,Accessories,75,1
I-000352,O-00107,Monitor Stand,Accessories,75,3
I-000353,O-00107,4K Monitor,Electronics,400,3
I-000354,O-00108,Noise Cancelling Headphones,Electronics,300,3
I-000355,O-00108,Wireless Mouse,Accessories,50,3
I-000356,O-00108,Laptop Pro,Electronics,1200,3
I-000357,O-00108,4K Monitor,Electronics,400,3
I-000358,O-00109,Office Chair,Furniture,250,2
I-000359,O-00109,Standing Desk,Furniture,600,1
I-000360,O-00109,Noise Cancelling Headphones,Electronics,300,1
I-000361,O-00110,Wireless Mouse,Accessories,50,2
I-000362,O-00110,Laptop Pro,Electronics,1200,3
I-000363,O-00111,Office Chair,Furniture,250,1
I-000364,O-00111,4K Monitor,Electronics,400,3
I-000365,O-00111,Wireless Mouse,Accessories,50,1
I-000366,O-00111,Laptop Pro,Electronics,1200,1
I-000367,O-00112,Office Chair,Furniture,250,1
I-000368,O-00113,Standing Desk,Furniture,600,2
I-000369,O-00113,Office Chair,Furniture,250,2
I-000370,O-00113,Wireless Mouse,Accessories,50,2
I-000371,O-00113,Mechanical Keyboard,Accessories,130,2
I-000372,O-00114,Mechanical Keyboard,Accessories,130,1
I-000373,O-00114,Noise Cancelling Headphones,Electronics,300,1
I-000374,O-00114,Office Chair,Furniture,250,2
I-000375,O-00115,Laptop Pro,Electronics,1200,2
I-000376,O-00115,Mechanical Keyboard,Accessories,130,1
I-000377,O-00115,Wireless Mouse,Accessories,50,1
I-000378,O-00115,Noise Cancelling Headphones,Electronics,300,3
I-000379,O-00116,Monitor Stand,Accessories,75,1
I-000380,O-00116,Webcam 1080p,Accessories,80,3
I-000381,O-00117,Wireless Mouse,Accessories,50,3
I-000382,O-00118,Mechanical Keyboard,Accessories,130,1
I-000383,O-00119,Monitor Stand,Accessories,75,3
I-000384,O-00119,Webcam 1080p,Accessories,80,1
I-000385,O-00119,Webcam 1080p,Accessories,80,3
I-000386,O-00119,Wireless Mouse,Accessories,50,3
I-000387,O-00120,Wireless Mouse,Accessories,50,3
I-000388,O-00120,Mechanical Keyboard,Accessories,130,1
I-000389,O-00120,Office Chair,Furniture,250,1
I-000390,O-00120,Monitor Stand,Accessories,75,1
I-000391,O-00120,Laptop Pro,Electronics,1200,3
I-000392,O-00121,Office Chair,Furniture,250,1
I-000393,O-00121,Wireless Mouse,Accessories,50,1
I-000394,O-00121,Office Chair,Furniture,250,1
I-000395,O-00121,Wireless Mouse,Accessories,50,3
I-000396,O-00122,Standing Desk,Furniture,600,2
I-000397,O-00122,Wireless Mouse,Accessories,50,1
I-000398,O-00122,Standing Desk,Furniture,600,3
I-000399,O-00122,Office Chair,Furniture,250,3
I-000400,O-00123,Webcam 1080p,Accessories,80,1
I-000401,O-00123,Webcam 1080p,Accessories,80,2
I-000402,O-00123,4K Monitor,Electronics,400,3
I-000403,O-00124,Standing Desk,Furniture,600,1
I-000404,O-00124,Noise Cancelling Headphones,Electronics,300,2
I-000405,O-00125,Office Chair,Furniture,250,3
I-000406,O-00125,4K Monitor,Electronics,400,2
I-000407,O-00126,Standing Desk,Furniture,600,2
I-000408,O-00126,Laptop Pro,Electronics,1200,1
I-000409,O-00126,Monitor Stand,Accessories,75,2
I-000410,O-00126,Standing Desk,Furniture,600,3
I-000411,O-00127,4K Monitor,Electronics,400,3
I-000412,O-00127,Mechanical Keyboard,Accessories,130,2
I-000413,O-00127,Mechanical Keyboard,Accessories,130,2
I-000414,O-00127,4K Monitor,Electronics,400,3
I-000415,O-00128,Office Chair,Furniture,250,1
I-000416,O-00128,Noise Cancelling Headphones,Electronics,300,3
I-000417,O-00128,Webcam 1080p,Accessories,80,1
I-000418,O-00128,Mechanical Keyboard,Accessories,130,2
I-000419,O-00129,Noise Cancelling Headphones,Electronics,300,3
I-000420,O-00129,Mechanical Keyboard,Accessories,130,3
I-000421,O-00129,Mechanical Keyboard,Accessories,130,2
I-000422,O-00130,Noise Cancelling Headphones,Electronics,300,2
I-000423,O-00130,4K Monitor,Electronics,400,3
I-000424,O-00131,Office Chair,Furniture,250,3
I-000425,O-00131,Laptop Pro,Electronics,1200,2
I-000426,O-00132,Mechanical Keyboard,Accessories,130,3
I-000427,O-00132,Mechanical Keyboard,Accessories,130,1
I-000428,O-00133,Office Chair,Furniture,250,1
I-000429,O-00133,Monitor Stand,Accessories,75,1
I-000430,O-00133,Office Chair,Furniture,250,1
I-000431,O-00133,Laptop Pro,Electronics,1200,1
I-000432,O-00133,4K Monitor,Electronics,400,1
I-000433,O-00134,Mechanical Keyboard,Accessories,130,1
I-000434,O-00135,4K Monitor,Electronics,400,2
I-000435,O-00136,Mechanical Keyboard,Accessories,130,3
I-000436,O-00136,Standing Desk,Furniture,600,3
I-000437,O-00136,Office Chair,Furniture,250,1
I-000438,O-00136,Monitor Stand,Accessories,75,1
I-000439,O-00137,4K Monitor,Electronics,400,1
I-000440,O-00137,Webcam 1080p,Accessories,80,2
I-000441,O-00138,Monitor Stand,Accessories,75,3
I-000442,O-00139,Noise Cancelling Headphones,Electronics,300,3
I-000443,O-00139,Noise Cancelling Headphones,Electronics,300,1
I-000444,O-00139,Laptop Pro,Electronics,1200,3
I-000445,O-00139,4K Monitor,Electronics,400,1
I-000446,O-00140,Laptop Pro,Electronics,1200,1
I-000447,O-00140,Wireless Mouse,Accessories,50,3
I-000448,O-00140,Mechanical Keyboard,Accessories,130,1
I-000449,O-00141,Monitor Stand,Accessories,75,3
I-000450,O-00141,Wireless Mouse,Accessories,50,3
I-000451,O-00141,4K Monitor,Electronics,400,3
I-000452,O-00141,4K Monitor,Electronics,400,2
I-000453,O-00141,Webcam 1080p,Accessories,80,3
I-000454,O-00142,Standing Desk,Furniture,600,3
I-000455,O-00143,Standing Desk,Furniture,600,1
I-000456,O-00143,Standing Desk,Furniture,600,1
I-000457,O-00143,Monitor Stand,Accessories,75,1
I-000458,O-00144,Monitor Stand,Accessories,75,2
I-000459,O-00144,Monitor Stand,Accessories,75,2
I-000460,O-00144,Wireless Mouse,Accessories,50,3
I-000461,O-00144,Webcam 1080p,Accessories,80,2
I-000462,O-00144,Monitor Stand,Accessories,75,2
I-000463,O-00145,Standing Desk,Furniture,600,3
I-000464,O-00145,Monitor Stand,Accessories,75,3
I-000465,O-00145,Standing Desk,Furniture,600,1
I-000466,O-00145,4K Monitor,Electronics,400,2
I-000467,O-00146,Webcam 1080p,Accessories,80,3
I-000468,O-00146,Office Chair,Furniture,250,1
I-000469,O-00146,Webcam 1080p,Accessories,80,2
I-000470,O-00146,Mechanical Keyboard,Accessories,130,3
I-000471,O-00146,Monitor Stand,Accessories,75,1
I-000472,O-00147,Wireless Mouse,Accessories,50,2
I-000473,O-00147,Webcam 1080p,Accessories,80,1
I-000474,O-00147,Laptop Pro,Electronics,1200,3
I-000475,O-00147,Webcam 1080p,Accessories,80,2
I-000476,O-00147,Wireless Mouse,Accessories,50,3
I-000477,O-00148,4K Monitor,Electronics,400,1
I-000478,O-00148,Webcam 1080p,Accessories,80,2
I-000479,O-00148,Wireless Mouse,Accessories,50,2
I-000480,O-00148,Laptop Pro,Electronics,1200,3
I-000481,O-00148,Monitor Stand,Accessories,75,1
I-000482,O-00149,Office Chair,Furniture,250,3
I-000483,O-00149,Office Chair,Furniture,250,2
I-000484,O-00150,Webcam 1080p,Accessories,80,3
I-000485,O-00150,Standing Desk,Furniture,600,3
I-000486,O-00150,Standing Desk,Furniture,600,3
I-000487,O-00150,Noise Cancelling Headphones,Electronics,300,1
I-000488,O-00150,Wireless Mouse,Accessories,50,3
I-000489,O-00151,Laptop Pro,Electronics,1200,1
I-000490,O-00151,Noise Cancelling Headphones,Electronics,300,2
I-000491,O-00151,Monitor Stand,Accessories,75,2
I-000492,O-00152,Monitor Stand,Accessories,75,3
I-000493,O-00152,Noise Cancelling Headphones,Electronics,300,3
I-000494,O-00152,Noise Cancelling Headphones,Electronics,300,1
I-000495,O-00152,Office Chair,Furniture,250,3
I-000496,O-00153,Laptop Pro,Electronics,1200,2
I-000497,O-00153,Mechanical Keyboard,Accessories,130,3
I-000498,O-00153,Office Chair,Furniture,250,3
I-000499,O-00153,4K Monitor,Electronics,400,1
I-000500,O-00154,Laptop Pro,Electronics,1200,2
I-000501,O-00154,Standing Desk,Furniture,600,2
I-000502,O-00155,4K Monitor,Electronics,400,2
